layer_i,proj_i,dim_i,layer_j,proj_j,dim_j,intersect_dim,mean_cos2
0,k_proj,3246,0,k_proj,3246,3246,0.9999984957447627
0,k_proj,3246,0,v_proj,3072,2222,0.782127732930915
0,k_proj,3246,1,k_proj,3149,2299,0.778956612465342
0,k_proj,3246,1,v_proj,3072,2222,0.7467094416685921
0,k_proj,3246,2,k_proj,3077,2227,0.7533154537555838
0,k_proj,3246,2,v_proj,3072,2222,0.7473442373786968
0,k_proj,3246,3,k_proj,3075,2225,0.7521932041358595
0,k_proj,3246,3,v_proj,3072,2222,0.748504920719732
0,k_proj,3246,4,k_proj,3073,2223,0.7516619011860751
0,k_proj,3246,4,v_proj,3072,2222,0.7480002430876463
0,k_proj,3246,5,k_proj,3072,2222,0.7501579467999075
0,k_proj,3246,5,v_proj,3072,2222,0.7470500050542976
0,k_proj,3246,6,k_proj,3072,2222,0.7500865698889018
0,k_proj,3246,6,v_proj,3072,2222,0.7473637926967807
0,k_proj,3246,7,k_proj,3072,2222,0.749369717055607
0,k_proj,3246,7,v_proj,3072,2222,0.7475178284330715
0,k_proj,3246,8,k_proj,3072,2222,0.7496723732093346
0,k_proj,3246,8,v_proj,3072,2222,0.7464786889152033
0,k_proj,3246,9,k_proj,3072,2222,0.7496151362975585
0,k_proj,3246,9,v_proj,3072,2222,0.7474381029054991
0,k_proj,3246,10,k_proj,3072,2222,0.7495141255583796
0,k_proj,3246,10,v_proj,3072,2222,0.7465585648682994
0,k_proj,3246,11,k_proj,3072,2222,0.7493617445028496
0,k_proj,3246,11,v_proj,3072,2222,0.7476126717257778
0,k_proj,3246,12,k_proj,3072,2222,0.7491031630275724
0,k_proj,3246,12,v_proj,3072,2222,0.7472979815301525
0,k_proj,3246,13,k_proj,3072,2222,0.7494223659889094
0,k_proj,3246,13,v_proj,3072,2222,0.7476717137438386
0,k_proj,3246,14,k_proj,3072,2222,0.7503897525319624
0,k_proj,3246,14,v_proj,3072,2222,0.7515102722581639
0,k_proj,3246,15,k_proj,3072,2222,0.7500247449986522
0,k_proj,3246,15,v_proj,3072,2222,0.7520818892483057
0,k_proj,3246,16,k_proj,3072,2222,0.7496947866123691
0,k_proj,3246,16,v_proj,3072,2222,0.7517613324572551
0,k_proj,3246,17,k_proj,3072,2222,0.7504194615728974
0,k_proj,3246,17,v_proj,3072,2222,0.7494368068391867
0,k_proj,3246,18,k_proj,3072,2222,0.7509169939926063
0,k_proj,3246,18,v_proj,3072,2222,0.7517700571376309
0,k_proj,3246,19,k_proj,3072,2222,0.7509237631411737
0,k_proj,3246,19,v_proj,3072,2222,0.7516374570384704
0,k_proj,3246,20,k_proj,3072,2222,0.7512591368463108
0,k_proj,3246,20,v_proj,3072,2222,0.7520587989304144
0,k_proj,3246,21,k_proj,3072,2222,0.7507249005988139
0,k_proj,3246,21,v_proj,3072,2222,0.7508905191004313
0,k_proj,3246,22,k_proj,3072,2222,0.7508714150589186
0,k_proj,3246,22,v_proj,3072,2222,0.7508166601682841
0,k_proj,3246,23,k_proj,3072,2222,0.7507837921913509
0,k_proj,3246,23,v_proj,3072,2222,0.7502421850931916
0,k_proj,3246,24,k_proj,3072,2222,0.7513311906721735
0,k_proj,3246,24,v_proj,3072,2222,0.7508505811238833
0,k_proj,3246,25,k_proj,3072,2222,0.7511366152572396
0,k_proj,3246,25,v_proj,3072,2222,0.7509508397354436
0,k_proj,3246,26,k_proj,3072,2222,0.7517569701170672
0,k_proj,3246,26,v_proj,3072,2222,0.7498495744762785
0,k_proj,3246,27,k_proj,3072,2222,0.7521306271179914
0,k_proj,3246,27,v_proj,3072,2222,0.7508813431434843
0,k_proj,3246,28,k_proj,3072,2222,0.7523141462569316
0,k_proj,3246,28,v_proj,3072,2222,0.7500009025531423
0,k_proj,3246,29,k_proj,3072,2222,0.7516338468259011
0,k_proj,3246,29,v_proj,3072,2222,0.7503456026407501
0,k_proj,3246,30,k_proj,3072,2222,0.7521340869050369
0,k_proj,3246,30,v_proj,3072,2222,0.7500862690378542
0,k_proj,3246,31,k_proj,3072,2222,0.7521482269042667
0,k_proj,3246,31,v_proj,3072,2222,0.7520053978694933
0,v_proj,3072,0,v_proj,3072,3072,0.999999205271403
0,v_proj,3072,1,k_proj,3149,2125,0.7737714449564616
0,v_proj,3072,1,v_proj,3072,2048,0.7530081272125244
0,v_proj,3072,2,k_proj,3077,2053,0.7527769406636556
0,v_proj,3072,2,v_proj,3072,2048,0.7509392102559408
0,v_proj,3072,3,k_proj,3075,2051,0.7518075307210287
0,v_proj,3072,3,v_proj,3072,2048,0.7516845862070719
0,v_proj,3072,4,k_proj,3073,2049,0.7507747809092203
0,v_proj,3072,4,v_proj,3072,2048,0.7506512006123861
0,v_proj,3072,5,k_proj,3072,2048,0.750115712483724
0,v_proj,3072,5,v_proj,3072,2048,0.7497992515563965
0,v_proj,3072,6,k_proj,3072,2048,0.7504007816314697
0,v_proj,3072,6,v_proj,3072,2048,0.7500286102294922
0,v_proj,3072,7,k_proj,3072,2048,0.7501799265543619
0,v_proj,3072,7,v_proj,3072,2048,0.7497806549072266
0,v_proj,3072,8,k_proj,3072,2048,0.7500707308451334
0,v_proj,3072,8,v_proj,3072,2048,0.7496867179870605
0,v_proj,3072,9,k_proj,3072,2048,0.7501490910847982
0,v_proj,3072,9,v_proj,3072,2048,0.7498769760131836
0,v_proj,3072,10,k_proj,3072,2048,0.7497398058573405
0,v_proj,3072,10,v_proj,3072,2048,0.7495834032694498
0,v_proj,3072,11,k_proj,3072,2048,0.7499877611796061
0,v_proj,3072,11,v_proj,3072,2048,0.7499205271402994
0,v_proj,3072,12,k_proj,3072,2048,0.750065008799235
0,v_proj,3072,12,v_proj,3072,2048,0.7498742739359537
0,v_proj,3072,13,k_proj,3072,2048,0.7499330838521322
0,v_proj,3072,13,v_proj,3072,2048,0.7496255238850912
0,v_proj,3072,14,k_proj,3072,2048,0.7497390111287435
0,v_proj,3072,14,v_proj,3072,2048,0.749974250793457
0,v_proj,3072,15,k_proj,3072,2048,0.7499731381734213
0,v_proj,3072,15,v_proj,3072,2048,0.7504477500915527
0,v_proj,3072,16,k_proj,3072,2048,0.7499636014302572
0,v_proj,3072,16,v_proj,3072,2048,0.7501792907714844
0,v_proj,3072,17,k_proj,3072,2048,0.7502056757609049
0,v_proj,3072,17,v_proj,3072,2048,0.750313917795817
0,v_proj,3072,18,k_proj,3072,2048,0.7500015099843343
0,v_proj,3072,18,v_proj,3072,2048,0.7503498395284017
0,v_proj,3072,19,k_proj,3072,2048,0.7499066988627116
0,v_proj,3072,19,v_proj,3072,2048,0.7500859896341959
0,v_proj,3072,20,k_proj,3072,2048,0.749978224436442
0,v_proj,3072,20,v_proj,3072,2048,0.7503649393717448
0,v_proj,3072,21,k_proj,3072,2048,0.750019391377767
0,v_proj,3072,21,v_proj,3072,2048,0.7500170866648356
0,v_proj,3072,22,k_proj,3072,2048,0.7498552004496256
0,v_proj,3072,22,v_proj,3072,2048,0.7502559026082357
0,v_proj,3072,23,k_proj,3072,2048,0.7498485247294108
0,v_proj,3072,23,v_proj,3072,2048,0.750330924987793
0,v_proj,3072,24,k_proj,3072,2048,0.7496976057688395
0,v_proj,3072,24,v_proj,3072,2048,0.7500319480895996
0,v_proj,3072,25,k_proj,3072,2048,0.7497332890828451
0,v_proj,3072,25,v_proj,3072,2048,0.7502533594767252
0,v_proj,3072,26,k_proj,3072,2048,0.7498742739359537
0,v_proj,3072,26,v_proj,3072,2048,0.7499523957570394
0,v_proj,3072,27,k_proj,3072,2048,0.749677817026774
0,v_proj,3072,27,v_proj,3072,2048,0.7501536210378011
0,v_proj,3072,28,k_proj,3072,2048,0.7498477300008138
0,v_proj,3072,28,v_proj,3072,2048,0.7499794960021973
0,v_proj,3072,29,k_proj,3072,2048,0.7498035430908203
0,v_proj,3072,29,v_proj,3072,2048,0.7499162356058756
0,v_proj,3072,30,k_proj,3072,2048,0.7497650782267252
0,v_proj,3072,30,v_proj,3072,2048,0.750126043955485
0,v_proj,3072,31,k_proj,3072,2048,0.7498675982157389
0,v_proj,3072,31,v_proj,3072,2048,0.7501993179321289
1,k_proj,3149,1,k_proj,3149,3149,0.9999996123521356
1,k_proj,3149,1,v_proj,3072,2125,0.7778702533294299
1,k_proj,3149,2,k_proj,3077,2130,0.7662616728524928
1,k_proj,3149,2,v_proj,3072,2125,0.7573715893190298
1,k_proj,3149,3,k_proj,3075,2128,0.7617971323981819
1,k_proj,3149,3,v_proj,3072,2125,0.7529604667404335
1,k_proj,3149,4,k_proj,3073,2126,0.7586978101927199
1,k_proj,3149,4,v_proj,3072,2125,0.7515220605747857
1,k_proj,3149,5,k_proj,3072,2125,0.752403804407153
1,k_proj,3149,5,v_proj,3072,2125,0.7500290735898301
1,k_proj,3149,6,k_proj,3072,2125,0.752397989689187
1,k_proj,3149,6,v_proj,3072,2125,0.7506852063651159
1,k_proj,3149,7,k_proj,3072,2125,0.7506418673338758
1,k_proj,3149,7,v_proj,3072,2125,0.7492771142624642
1,k_proj,3149,8,k_proj,3072,2125,0.7499719342946174
1,k_proj,3149,8,v_proj,3072,2125,0.7473281758593998
1,k_proj,3149,9,k_proj,3072,2125,0.7492006701036044
1,k_proj,3149,9,v_proj,3072,2125,0.7478089367408304
1,k_proj,3149,10,k_proj,3072,2125,0.7498340867140362
1,k_proj,3149,10,v_proj,3072,2125,0.7479225175651001
1,k_proj,3149,11,k_proj,3072,2125,0.7493028540806606
1,k_proj,3149,11,v_proj,3072,2125,0.7486658711098761
1,k_proj,3149,12,k_proj,3072,2125,0.7494114730122658
1,k_proj,3149,12,v_proj,3072,2125,0.7479259288663067
1,k_proj,3149,13,k_proj,3072,2125,0.7487331667791363
1,k_proj,3149,13,v_proj,3072,2125,0.7471088446977215
1,k_proj,3149,14,k_proj,3072,2125,0.7509698949567323
1,k_proj,3149,14,v_proj,3072,2125,0.7508142931039615
1,k_proj,3149,15,k_proj,3072,2125,0.7502278594146952
