model,epsilon,num_pertinent_layers,pertinent_layers,avg_cos_sim,max_cos_sim,pile_bpb_pre,alpaca_bpb_pre,pile_bpb,alpaca_bpb,gsm8k_pre,gsm8k
meta-llama/Meta-Llama-3-8B-Instruct,0.01,2,"[11, 12]",0.6604,0.7497,0.7613,0.5459,0.7788,0.5462,,
meta-llama/Meta-Llama-3-8B-Instruct,0.025,2,"[11, 12]",0.6588,0.7497,0.7613,0.5459,0.7831,0.5533,,
meta-llama/Meta-Llama-3-8B-Instruct,0.05,2,"[11, 12]",0.6568,0.7497,0.7613,0.5459,0.7948,0.5779,,
meta-llama/Meta-Llama-3-8B-Instruct,0.1,2,"[11, 12]",0.6575,0.7497,0.7613,0.5459,1.1417,1.8048,,
meta-llama/Meta-Llama-3-8B-Instruct,0.15,2,"[11, 12]",0.6557,0.7497,0.7613,0.5459,3.6127,4.3124,,
meta-llama/Meta-Llama-3-8B-Instruct,0.2,2,"[11, 12]",0.6477,0.7497,0.7613,0.5459,6.2988,6.4585,,
meta-llama/Meta-Llama-3-8B-Instruct,0.3,2,"[11, 12]",0.6204,0.7497,0.7613,0.5459,9.8504,9.1760,,
meta-llama/Meta-Llama-3-8B-Instruct,0.5,2,"[11, 12]",0.5638,0.7497,0.7613,0.5459,12.6412,11.5786,,
Qwen/Qwen3-8B,0.01,7,"[15, 16, 17, 18, 19, 20, 22]",0.2557,0.4025,0.7497,0.7522,0.7583,0.7471,,
Qwen/Qwen3-8B,0.025,7,"[15, 16, 17, 18, 19, 20, 22]",0.2559,0.4038,0.7497,0.7522,0.7583,0.7464,,
Qwen/Qwen3-8B,0.05,7,"[15, 16, 17, 18, 19, 20, 22]",0.2554,0.4027,0.7497,0.7522,0.7589,0.7474,,
Qwen/Qwen3-8B,0.1,7,"[15, 16, 17, 18, 19, 20, 22]",0.2559,0.4033,0.7497,0.7522,0.7593,0.7481,,
Qwen/Qwen3-8B,0.15,7,"[15, 16, 17, 18, 19, 20, 22]",0.2567,0.4051,0.7497,0.7522,0.7602,0.7473,,
Qwen/Qwen3-8B,0.2,7,"[15, 16, 17, 18, 19, 20, 22]",0.2580,0.4078,0.7497,0.7522,0.7620,0.7439,,
Qwen/Qwen3-8B,0.3,7,"[15, 16, 17, 18, 19, 20, 22]",0.2618,0.4165,0.7497,0.7522,0.7651,0.7341,,
Qwen/Qwen3-8B,0.5,7,"[15, 16, 17, 18, 19, 20, 22]",0.2695,0.4338,0.7497,0.7522,0.7736,0.7197,,
google/gemma-2-9b-it,0.01,33,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.3579,0.6444,0.8140,0.6560,0.8488,0.6382,,
google/gemma-2-9b-it,0.025,33,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.3850,0.6588,0.8140,0.6560,0.8829,0.6493,,
google/gemma-2-9b-it,0.05,33,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.4265,0.6676,0.8140,0.6560,0.9682,0.6447,,
google/gemma-2-9b-it,0.1,33,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.4684,0.6340,0.8140,0.6560,1.4915,1.0368,,
google/gemma-2-9b-it,0.15,33,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.4724,0.5924,0.8140,0.6560,3.7987,3.2702,,
google/gemma-2-9b-it,0.2,33,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.4613,0.5567,0.8140,0.6560,4.9989,4.4346,,
google/gemma-2-9b-it,0.3,33,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.4243,0.5012,0.8140,0.6560,5.7746,5.1865,,
google/gemma-2-9b-it,0.5,33,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.3583,0.4190,0.8140,0.6560,6.2283,5.6195,,
